Story,Reality Question,Reality Answer,Memory Question,Memory Answer,First-Order Belief A Question,First-Order Belief A Answer,First-Order Belief B Question,First-Order Belief B Answer,Second-Order Belief A Question,Second-Order Belief A Answer,Second-Order Belief B Question,Second-Order Belief B Answer
"1. Jack entered the kitchen.
2. Benjamin entered the kitchen.
3. The plum is in the cupboard.
4. Jack moved the plum to the basket.
5. Benjamin exited the kitchen.
6. Jack exited the kitchen.
7. Benjamin entered the kitchen.",Where is the plum really?,basket,Where was the plum at the beginning?,cupboard,Where will Jack look for the plum?,basket,Where will Benjamin look for the plum?,basket,Where does Jack think that Benjamin searches for the plum?,basket,Where does Benjamin think that Jack searches for the plum?,basket
"1. Carter entered the porch.
2. Emily entered the porch.
3. The cherry is in the pantry.
4. Carter exited the porch.
5. Emily moved the cherry to the bathtub.
6. Emily exited the porch.
7. Carter entered the garden.
8. Nathan dislikes the shoes",Where is the cherry really?,bathtub,Where was the cherry at the beginning?,pantry,Where will Emily look for the cherry?,bathtub,Where will Carter look for the cherry?,pantry,Where does Emily think that Carter searches for the cherry?,pantry,Where does Carter think that Emily searches for the cherry?,pantry
"1. Carter loves the lemon
2. Carter entered the crawlspace.
3. Evelyn entered the crawlspace.
4. Mila entered the hall.
5. Mila dislikes the broccoli
6. The jacket is in the bottle.
7. Carter exited the crawlspace.
8. Evelyn moved the jacket to the pantry.",Where is the jacket really?,pantry,Where was the jacket at the beginning?,bottle,Where will Evelyn look for the jacket?,pantry,Where will Carter look for the jacket?,bottle,Where does Evelyn think that Carter searches for the jacket?,bottle,Where does Carter think that Evelyn searches for the jacket?,bottle
"1. Carter entered the dining_room.
2. Mason entered the dining_room.
3. The tie is in the bucket.
4. Mason exited the dining_room.
5. Carter moved the tie to the pantry.",Where is the tie really?,pantry,Where was the tie at the beginning?,bucket,Where will Carter look for the tie?,pantry,Where will Mason look for the tie?,bucket,Where does Carter think that Mason searches for the tie?,bucket,Where does Mason think that Carter searches for the tie?,bucket
"1. Elizabeth entered the cellar.
2. Mila entered the cellar.
3. Alexander entered the cellar.
4. Elizabeth hates the boots
5. Alexander exited the cellar.
6. The cap is in the envelope.
7. Mila exited the cellar.
8. Alexander hates the boots
9. Elizabeth moved the cap to the treasure_chest.",Where is the cap really?,treasure_chest,Where was the cap at the beginning?,envelope,Where will Elizabeth look for the cap?,treasure_chest,Where will Mila look for the cap?,envelope,Where does Elizabeth think that Mila searches for the cap?,treasure_chest,Where does Mila think that Elizabeth searches for the cap?,treasure_chest
"1. Noah entered the laundry.
2. Ava entered the laundry.
3. The persimmon is in the bathtub.
4. Jack likes the suit
5. Ava exited the laundry.
6. Noah moved the persimmon to the bottle.",Where is the persimmon really?,bottle,Where was the persimmon at the beginning?,bathtub,Where will Noah look for the persimmon?,bottle,Where will Ava look for the persimmon?,bathtub,Where does Noah think that Ava searches for the persimmon?,bathtub,Where does Ava think that Noah searches for the persimmon?,bathtub
"1. Isabella entered the master_bedroom.
2. Elizabeth entered the pantry.
3. Amelia entered the pantry.
4. The radish is in the bottle.
5. Isabella likes the pumpkin
6. Elizabeth exited the pantry.
7. Amelia moved the radish to the suitcase.
8. Elizabeth dislikes the underclothes",Where is the radish really?,suitcase,Where was the radish at the beginning?,bottle,Where will Amelia look for the radish?,suitcase,Where will Elizabeth look for the radish?,bottle,Where does Amelia think that Elizabeth searches for the radish?,bottle,Where does Elizabeth think that Amelia searches for the radish?,bottle
"1. Avery entered the playroom.
2. Owen entered the playroom.
3. The sweet_potato is in the box.
4. Owen exited the playroom.
5. Avery moved the sweet_potato to the container.",Where is the sweet_potato really?,container,Where was the sweet_potato at the beginning?,box,Where will Avery look for the sweet_potato?,container,Where will Owen look for the sweet_potato?,box,Where does Avery think that Owen searches for the sweet_potato?,box,Where does Owen think that Avery searches for the sweet_potato?,box
"1. Benjamin entered the patio.
2. Ethan entered the patio.
3. Ava likes the boots
4. The radish is in the suitcase.
5. Ava loves the grapefruit
6. Ethan exited the patio.
7. Benjamin moved the radish to the treasure_chest.
8. Ethan entered the pantry.",Where is the radish really?,treasure_chest,Where was the radish at the beginning?,suitcase,Where will Benjamin look for the radish?,treasure_chest,Where will Ethan look for the radish?,suitcase,Where does Benjamin think that Ethan searches for the radish?,suitcase,Where does Ethan think that Benjamin searches for the radish?,suitcase
"1. Lily entered the garage.
2. Liam entered the garage.
3. The sweater is in the envelope.
4. Olivia entered the dining_room.
5. Olivia exited the dining_room.
6. Lily exited the garage.
7. Liam moved the sweater to the suitcase.",Where is the sweater really?,suitcase,Where was the sweater at the beginning?,envelope,Where will Liam look for the sweater?,suitcase,Where will Lily look for the sweater?,envelope,Where does Liam think that Lily searches for the sweater?,envelope,Where does Lily think that Liam searches for the sweater?,envelope
"1. Lily entered the back_yard.
2. Jacob entered the back_yard.
3. The cabbage is in the bottle.
4. Lily exited the back_yard.
5. Mila loves the broccoli
6. Jacob moved the cabbage to the treasure_chest.",Where is the cabbage really?,treasure_chest,Where was the cabbage at the beginning?,bottle,Where will Jacob look for the cabbage?,treasure_chest,Where will Lily look for the cabbage?,bottle,Where does Jacob think that Lily searches for the cabbage?,bottle,Where does Lily think that Jacob searches for the cabbage?,bottle
"1. Noah entered the lounge.
2. Lucas entered the lounge.
3. The skirt is in the bottle.
4. Noah hates the pineapple
5. Jack entered the lounge.
6. Jack hates the plum
7. Lucas exited the lounge.
8. Noah moved the skirt to the bucket.",Where is the skirt really?,bucket,Where was the skirt at the beginning?,bottle,Where will Noah look for the skirt?,bucket,Where will Lucas look for the skirt?,bottle,Where does Noah think that Lucas searches for the skirt?,bucket,Where does Lucas think that Noah searches for the skirt?,bucket
"1. Ethan entered the closet.
2. Jayden entered the closet.
3. The pants is in the basket.
4. Ethan dislikes the broccoli
5. Ethan exited the closet.
6. Jayden moved the pants to the box.",Where is the pants really?,box,Where was the pants at the beginning?,basket,Where will Jayden look for the pants?,box,Where will Ethan look for the pants?,basket,Where does Jayden think that Ethan searches for the pants?,basket,Where does Ethan think that Jayden searches for the pants?,basket
"1. Isla entered the front_yard.
2. Jayden entered the front_yard.
3. Jayden loves the jeans
4. Isla exited the front_yard.
5. Avery entered the front_yard.
6. The slippers is in the drawer.
7. Jayden exited the front_yard.
8. Avery moved the slippers to the container.
9. Jayden likes the eggplant",Where is the slippers really?,container,Where was the slippers at the beginning?,drawer,Where will Avery look for the slippers?,container,Where will Jayden look for the slippers?,drawer,Where does Avery think that Jayden searches for the slippers?,container,Where does Jayden think that Avery searches for the slippers?,container
"1. Sophia entered the laundry.
2. William entered the study.
3. Benjamin entered the laundry.
4. The belt is in the suitcase.
5. William hates the belt
6. Benjamin exited the laundry.
7. Sophia moved the belt to the container.",Where is the belt really?,container,Where was the belt at the beginning?,suitcase,Where will Sophia look for the belt?,container,Where will Benjamin look for the belt?,suitcase,Where does Sophia think that Benjamin searches for the belt?,suitcase,Where does Benjamin think that Sophia searches for the belt?,suitcase
"1. Sophia entered the master_bedroom.
2. Abigail entered the master_bedroom.
3. The dress is in the bottle.
4. Abigail likes the strawberry
5. Abigail exited the master_bedroom.
6. Sophia moved the dress to the envelope.
7. Sophia exited the master_bedroom.
8. Abigail entered the master_bedroom.",Where is the dress really?,envelope,Where was the dress at the beginning?,bottle,Where will Sophia look for the dress?,envelope,Where will Abigail look for the dress?,envelope,Where does Sophia think that Abigail searches for the dress?,bottle,Where does Abigail think that Sophia searches for the dress?,bottle
"1. Jayden entered the playroom.
2. Ethan entered the playroom.
3. The plum is in the box.
4. Jayden exited the playroom.
5. Ethan moved the plum to the basket.
6. Jayden entered the study.",Where is the plum really?,basket,Where was the plum at the beginning?,box,Where will Ethan look for the plum?,basket,Where will Jayden look for the plum?,box,Where does Ethan think that Jayden searches for the plum?,box,Where does Jayden think that Ethan searches for the plum?,box
"1. Jackson entered the basement.
2. Benjamin entered the basement.
3. The broccoli is in the envelope.
4. Aria entered the front_yard.
5. Jackson hates the shoes
6. Jackson exited the basement.
7. Aria exited the front_yard.
8. Benjamin moved the broccoli to the cupboard.
9. Jackson entered the basement.",Where is the broccoli really?,cupboard,Where was the broccoli at the beginning?,envelope,Where will Benjamin look for the broccoli?,cupboard,Where will Jackson look for the broccoli?,cupboard,Where does Benjamin think that Jackson searches for the broccoli?,cupboard,Where does Jackson think that Benjamin searches for the broccoli?,cupboard
"1. Mason entered the garden.
2. Alexander entered the garden.
3. The cap is in the bucket.
4. Mason exited the garden.
5. Alexander moved the cap to the pantry.",Where is the cap really?,pantry,Where was the cap at the beginning?,bucket,Where will Alexander look for the cap?,pantry,Where will Mason look for the cap?,bucket,Where does Alexander think that Mason searches for the cap?,bucket,Where does Mason think that Alexander searches for the cap?,bucket
"1. James hates the cap
2. Ethan entered the crawlspace.
3. James entered the crawlspace.
4. The dress is in the crate.
5. James exited the crawlspace.
6. Ethan moved the dress to the bucket.
7. Ethan exited the crawlspace.
8. James entered the crawlspace.",Where is the dress really?,bucket,Where was the dress at the beginning?,crate,Where will Ethan look for the dress?,bucket,Where will James look for the dress?,bucket,Where does Ethan think that James searches for the dress?,crate,Where does James think that Ethan searches for the dress?,crate
"1. Ethan entered the den.
2. Aiden entered the den.
3. The eggplant is in the bucket.
4. Aiden exited the den.
5. Ethan moved the eggplant to the envelope.",Where is the eggplant really?,envelope,Where was the eggplant at the beginning?,bucket,Where will Ethan look for the eggplant?,envelope,Where will Aiden look for the eggplant?,bucket,Where does Ethan think that Aiden searches for the eggplant?,bucket,Where does Aiden think that Ethan searches for the eggplant?,bucket
"1. Jackson entered the attic.
2. Jackson dislikes the jacket
3. Abigail entered the attic.
4. The pants is in the crate.
5. Hannah entered the attic.
6. Jackson moved the pants to the bucket.
7. Abigail likes the shoes
8. Hannah exited the attic.
9. Abigail exited the attic.
10. Jackson exited the attic.
11. Abigail entered the attic.",Where is the pants really?,bucket,Where was the pants at the beginning?,crate,Where will Jackson look for the pants?,bucket,Where will Abigail look for the pants?,bucket,Where does Jackson think that Abigail searches for the pants?,bucket,Where does Abigail think that Jackson searches for the pants?,bucket
"1. Hunter entered the cellar.
2. Ava entered the cellar.
3. The sweet_potato is in the crate.
4. Ava exited the cellar.
5. Hunter moved the sweet_potato to the envelope.",Where is the sweet_potato really?,envelope,Where was the sweet_potato at the beginning?,crate,Where will Hunter look for the sweet_potato?,envelope,Where will Ava look for the sweet_potato?,crate,Where does Hunter think that Ava searches for the sweet_potato?,crate,Where does Ava think that Hunter searches for the sweet_potato?,crate
"1. Olivia entered the sunroom.
2. Isabella entered the sunroom.
3. The orange is in the crate.
4. Isabella exited the sunroom.
5. Evelyn entered the bedroom.
6. Evelyn exited the bedroom.
7. Olivia moved the orange to the cupboard.
8. Olivia exited the sunroom.
9. Isabella entered the bedroom.",Where is the orange really?,cupboard,Where was the orange at the beginning?,crate,Where will Olivia look for the orange?,cupboard,Where will Isabella look for the orange?,crate,Where does Olivia think that Isabella searches for the orange?,crate,Where does Isabella think that Olivia searches for the orange?,crate
"1. Isabella entered the front_yard.
2. Emily entered the front_yard.
3. The slacks is in the box.
4. Jackson dislikes the watermelon
5. Jackson entered the attic.
6. Isabella loves the peas
7. Emily exited the front_yard.
8. Isabella moved the slacks to the bathtub.",Where is the slacks really?,bathtub,Where was the slacks at the beginning?,box,Where will Isabella look for the slacks?,bathtub,Where will Emily look for the slacks?,box,Where does Isabella think that Emily searches for the slacks?,box,Where does Emily think that Isabella searches for the slacks?,box
"1. Aria entered the patio.
2. Mila entered the patio.
3. The cap is in the bucket.
4. Aria moved the cap to the bottle.
5. Mila exited the patio.
6. Jacob entered the patio.
7. Aria exited the patio.
8. Mila entered the patio.",Where is the cap really?,bottle,Where was the cap at the beginning?,bucket,Where will Aria look for the cap?,bottle,Where will Mila look for the cap?,bottle,Where does Aria think that Mila searches for the cap?,bottle,Where does Mila think that Aria searches for the cap?,bottle
"1. Jacob entered the bedroom.
2. Isabella entered the bedroom.
3. The potato is in the pantry.
4. Jacob exited the bedroom.
5. Isabella moved the potato to the box.
6. Jacob hates the coat
7. Jacob entered the bedroom.",Where is the potato really?,box,Where was the potato at the beginning?,pantry,Where will Isabella look for the potato?,box,Where will Jacob look for the potato?,box,Where does Isabella think that Jacob searches for the potato?,box,Where does Jacob think that Isabella searches for the potato?,box
"1. Mia entered the living_room.
2. Ella entered the living_room.
3. The grapefruit is in the box.
4. Mia exited the living_room.
5. Ella moved the grapefruit to the envelope.
6. Aria loves the gloves",Where is the grapefruit really?,envelope,Where was the grapefruit at the beginning?,box,Where will Ella look for the grapefruit?,envelope,Where will Mia look for the grapefruit?,box,Where does Ella think that Mia searches for the grapefruit?,box,Where does Mia think that Ella searches for the grapefruit?,box
"1. Isabella entered the garage.
2. Emma loves the strawberry
3. Owen entered the garage.
4. The beans is in the pantry.
5. Emma entered the den.
6. Owen exited the garage.
7. Isabella moved the beans to the crate.
8. Emma loves the peach
9. Owen entered the garage.",Where is the beans really?,crate,Where was the beans at the beginning?,pantry,Where will Isabella look for the beans?,crate,Where will Owen look for the beans?,crate,Where does Isabella think that Owen searches for the beans?,crate,Where does Owen think that Isabella searches for the beans?,crate
"1. Sophia entered the lounge.
2. Ella entered the office.
3. Jackson entered the lounge.
4. The melon is in the treasure_chest.
5. Ella exited the office.
6. Jackson dislikes the lettuce
7. Sophia exited the lounge.
8. Jackson moved the melon to the bathtub.",Where is the melon really?,bathtub,Where was the melon at the beginning?,treasure_chest,Where will Jackson look for the melon?,bathtub,Where will Sophia look for the melon?,treasure_chest,Where does Jackson think that Sophia searches for the melon?,treasure_chest,Where does Sophia think that Jackson searches for the melon?,treasure_chest
"1. Elizabeth entered the patio.
2. Liam entered the laundry.
3. Ella entered the laundry.
4. The socks is in the container.
5. Ella exited the laundry.
6. Liam moved the socks to the suitcase.
7. Ella entered the patio.",Where is the socks really?,suitcase,Where was the socks at the beginning?,container,Where will Liam look for the socks?,suitcase,Where will Ella look for the socks?,container,Where does Liam think that Ella searches for the socks?,container,Where does Ella think that Liam searches for the socks?,container
"1. Evelyn entered the back_yard.
2. Jackson entered the cellar.
3. Charlotte entered the back_yard.
4. The cherry is in the basket.
5. Evelyn exited the back_yard.
6. Charlotte moved the cherry to the suitcase.
7. Charlotte likes the coat",Where is the cherry really?,suitcase,Where was the cherry at the beginning?,basket,Where will Charlotte look for the cherry?,suitcase,Where will Evelyn look for the cherry?,basket,Where does Charlotte think that Evelyn searches for the cherry?,basket,Where does Evelyn think that Charlotte searches for the cherry?,basket
"1. Olivia is in the kitchen.
2. Elizabeth entered the kitchen.
3. Noah entered the kitchen.
4. The plum is in the suitcase.
5. Olivia exited the kitchen.
6. Elizabeth moved the plum to the basket.
7. Olivia entered the kitchen.",Where is the plum really?,basket,Where was the plum at the beginning?,suitcase,Where will Elizabeth look for the plum?,basket,Where will Olivia look for the plum?,basket,Where does Elizabeth think that Olivia searches for the plum?,basket,Where does Olivia think that Elizabeth searches for the plum?,basket
"1. Olivia entered the basement.
2. William entered the basement.
3. The shoes is in the bathtub.
4. Olivia exited the basement.
5. William dislikes the tomato
6. William moved the shoes to the bottle.
7. William hates the coat
8. Olivia entered the crawlspace.
9. Owen entered the basement.",Where is the shoes really?,bottle,Where was the shoes at the beginning?,bathtub,Where will William look for the shoes?,bottle,Where will Olivia look for the shoes?,bathtub,Where does William think that Olivia searches for the shoes?,bottle,Where does Olivia think that William searches for the shoes?,bottle
"1. Logan entered the workshop.
2. Hunter entered the workshop.
3. The jacket is in the bottle.
4. Aria entered the workshop.
5. Aria exited the workshop.
6. Logan exited the workshop.
7. Hunter moved the jacket to the bucket.
8. Logan entered the garage.",Where is the jacket really?,bucket,Where was the jacket at the beginning?,bottle,Where will Hunter look for the jacket?,bucket,Where will Logan look for the jacket?,bottle,Where does Hunter think that Logan searches for the jacket?,bucket,Where does Logan think that Hunter searches for the jacket?,bucket
"1. James entered the porch.
2. Noah entered the porch.
3. James dislikes the carrot
4. The corn is in the pantry.
5. James exited the porch.
6. Noah loves the cabbage
7. Noah moved the corn to the drawer.
8. Aria entered the master_bedroom.",Where is the corn really?,drawer,Where was the corn at the beginning?,pantry,Where will Noah look for the corn?,drawer,Where will James look for the corn?,pantry,Where does Noah think that James searches for the corn?,pantry,Where does James think that Noah searches for the corn?,pantry
"1. Alexander entered the attic.
2. Charlotte entered the den.
3. Emily entered the attic.
4. The plum is in the box.
5. Alexander exited the attic.
6. Emily moved the plum to the bottle.",Where is the plum really?,bottle,Where was the plum at the beginning?,box,Where will Emily look for the plum?,bottle,Where will Alexander look for the plum?,box,Where does Emily think that Alexander searches for the plum?,box,Where does Alexander think that Emily searches for the plum?,box
"1. William loves the celery
2. Nathan entered the front_yard.
3. Sophia entered the front_yard.
4. The sweater is in the crate.
5. Nathan exited the front_yard.
6. William entered the front_yard.
7. Sophia moved the sweater to the container.",Where is the sweater really?,container,Where was the sweater at the beginning?,crate,Where will Sophia look for the sweater?,container,Where will Nathan look for the sweater?,crate,Where does Sophia think that Nathan searches for the sweater?,container,Where does Nathan think that Sophia searches for the sweater?,container
"1. Jacob entered the hall.
2. Jacob hates the green_pepper
3. Nathan entered the hall.
4. Benjamin entered the hall.
5. The lime is in the pantry.
6. Nathan exited the hall.
7. Jacob moved the lime to the suitcase.",Where is the lime really?,suitcase,Where was the lime at the beginning?,pantry,Where will Jacob look for the lime?,suitcase,Where will Nathan look for the lime?,pantry,Where does Jacob think that Nathan searches for the lime?,suitcase,Where does Nathan think that Jacob searches for the lime?,suitcase
"1. Charlotte entered the cellar.
2. Elizabeth entered the cellar.
3. Aria hates the stockings
4. The slippers is in the bottle.
5. Charlotte moved the slippers to the basket.
6. Charlotte loves the skirt
7. Elizabeth exited the cellar.
8. Charlotte exited the cellar.
9. Elizabeth entered the cellar.",Where is the slippers really?,basket,Where was the slippers at the beginning?,bottle,Where will Charlotte look for the slippers?,basket,Where will Elizabeth look for the slippers?,basket,Where does Charlotte think that Elizabeth searches for the slippers?,basket,Where does Elizabeth think that Charlotte searches for the slippers?,basket
"1. Noah dislikes the asparagus
2. Noah entered the garage.
3. Hunter entered the garage.
4. The watermelon is in the treasure_chest.
5. Hunter exited the garage.
6. Noah likes the turnip
7. Noah moved the watermelon to the crate.
8. Avery entered the garage.",Where is the watermelon really?,crate,Where was the watermelon at the beginning?,treasure_chest,Where will Noah look for the watermelon?,crate,Where will Hunter look for the watermelon?,treasure_chest,Where does Noah think that Hunter searches for the watermelon?,crate,Where does Hunter think that Noah searches for the watermelon?,crate
"1. Mila entered the closet.
2. Liam entered the closet.
3. Liam exited the closet.
4. James entered the closet.
5. The eggplant is in the envelope.
6. James exited the closet.
7. Mila moved the eggplant to the basket.",Where is the eggplant really?,basket,Where was the eggplant at the beginning?,envelope,Where will Mila look for the eggplant?,basket,Where will James look for the eggplant?,envelope,Where does Mila think that James searches for the eggplant?,basket,Where does James think that Mila searches for the eggplant?,basket
"1. Oliver entered the back_yard.
2. Hunter entered the back_yard.
3. The coat is in the basket.
4. Hunter hates the banana
5. Oliver moved the coat to the bathtub.
6. Amelia hates the underclothes
7. Hunter exited the back_yard.
8. Amelia entered the den.
9. Oliver exited the back_yard.
10. Hunter entered the back_yard.",Where is the coat really?,bathtub,Where was the coat at the beginning?,basket,Where will Oliver look for the coat?,bathtub,Where will Hunter look for the coat?,bathtub,Where does Oliver think that Hunter searches for the coat?,bathtub,Where does Hunter think that Oliver searches for the coat?,bathtub
"1. James entered the playroom.
2. Olivia entered the playroom.
3. The dress is in the suitcase.
4. Olivia exited the playroom.
5. James moved the dress to the cupboard.
6. James exited the playroom.
7. James hates the lemon
8. Olivia entered the playroom.",Where is the dress really?,cupboard,Where was the dress at the beginning?,suitcase,Where will James look for the dress?,cupboard,Where will Olivia look for the dress?,cupboard,Where does James think that Olivia searches for the dress?,suitcase,Where does Olivia think that James searches for the dress?,suitcase
"1. Owen entered the hallway.
2. Hunter entered the hallway.
3. The t-shirt is in the cupboard.
4. Owen likes the jacket
5. Hunter likes the spinach
6. Hunter exited the hallway.
7. Owen moved the t-shirt to the drawer.",Where is the t-shirt really?,drawer,Where was the t-shirt at the beginning?,cupboard,Where will Owen look for the t-shirt?,drawer,Where will Hunter look for the t-shirt?,cupboard,Where does Owen think that Hunter searches for the t-shirt?,cupboard,Where does Hunter think that Owen searches for the t-shirt?,cupboard
"1. Aiden entered the garden.
2. Aria entered the hallway.
3. Oliver entered the hallway.
4. The gloves is in the bottle.
5. Aiden exited the garden.
6. Aria dislikes the sweatshirt
7. Oliver exited the hallway.
8. Oliver loves the peach
9. Aria moved the gloves to the basket.",Where is the gloves really?,basket,Where was the gloves at the beginning?,bottle,Where will Aria look for the gloves?,basket,Where will Oliver look for the gloves?,bottle,Where does Aria think that Oliver searches for the gloves?,bottle,Where does Oliver think that Aria searches for the gloves?,bottle
"1. Aiden entered the TV_room.
2. Emily entered the TV_room.
3. The potato is in the basket.
4. Emily exited the TV_room.
5. Aiden moved the potato to the envelope.",Where is the potato really?,envelope,Where was the potato at the beginning?,basket,Where will Aiden look for the potato?,envelope,Where will Emily look for the potato?,basket,Where does Aiden think that Emily searches for the potato?,basket,Where does Emily think that Aiden searches for the potato?,basket
"1. Mila entered the cellar.
2. Hannah entered the cellar.
3. The cabbage is in the crate.
4. Mason entered the cellar.
5. Mila exited the cellar.
6. Mason exited the cellar.
7. Hannah hates the persimmon
8. Hannah moved the cabbage to the container.",Where is the cabbage really?,container,Where was the cabbage at the beginning?,crate,Where will Hannah look for the cabbage?,container,Where will Mila look for the cabbage?,crate,Where does Hannah think that Mila searches for the cabbage?,container,Where does Mila think that Hannah searches for the cabbage?,container
"1. Liam hates the trousers
2. Charlotte entered the hallway.
3. Mia likes the belt
4. Mia entered the hallway.
5. The melon is in the envelope.
6. Charlotte exited the hallway.
7. Mia moved the melon to the box.",Where is the melon really?,box,Where was the melon at the beginning?,envelope,Where will Mia look for the melon?,box,Where will Charlotte look for the melon?,envelope,Where does Mia think that Charlotte searches for the melon?,envelope,Where does Charlotte think that Mia searches for the melon?,envelope
"1. Hunter entered the crawlspace.
2. Emma entered the crawlspace.
3. Mason entered the crawlspace.
4. Mason dislikes the lime
5. The pants is in the basket.
6. Emma loves the boots
7. Hunter exited the crawlspace.
8. Mason moved the pants to the crate.
9. Hunter entered the study.",Where is the pants really?,crate,Where was the pants at the beginning?,basket,Where will Mason look for the pants?,crate,Where will Hunter look for the pants?,basket,Where does Mason think that Hunter searches for the pants?,crate,Where does Hunter think that Mason searches for the pants?,crate
"1. Aiden entered the patio.
2. Hunter entered the patio.
3. The onion is in the envelope.
4. Hunter moved the onion to the basket.
5. Oliver entered the patio.
6. Aiden exited the patio.
7. Hunter exited the patio.
8. Aiden entered the patio.",Where is the onion really?,basket,Where was the onion at the beginning?,envelope,Where will Hunter look for the onion?,basket,Where will Aiden look for the onion?,basket,Where does Hunter think that Aiden searches for the onion?,basket,Where does Aiden think that Hunter searches for the onion?,basket
"1. Jackson entered the closet.
2. Nathan entered the closet.
3. Ethan entered the closet.
4. The underpants is in the pantry.
5. Jackson dislikes the pear
6. Nathan exited the closet.
7. Ethan exited the closet.
8. Jackson moved the underpants to the bucket.
9. Nathan entered the front_yard.",Where is the underpants really?,bucket,Where was the underpants at the beginning?,pantry,Where will Jackson look for the underpants?,bucket,Where will Nathan look for the underpants?,pantry,Where does Jackson think that Nathan searches for the underpants?,bucket,Where does Nathan think that Jackson searches for the underpants?,bucket
"1. Liam entered the bedroom.
2. Hannah entered the bedroom.
3. Elizabeth entered the porch.
4. The spinach is in the bathtub.
5. Liam exited the bedroom.
6. Hannah moved the spinach to the treasure_chest.",Where is the spinach really?,treasure_chest,Where was the spinach at the beginning?,bathtub,Where will Hannah look for the spinach?,treasure_chest,Where will Liam look for the spinach?,bathtub,Where does Hannah think that Liam searches for the spinach?,bathtub,Where does Liam think that Hannah searches for the spinach?,bathtub
"1. Isabella entered the attic.
2. Aiden entered the attic.
3. The pajamas is in the treasure_chest.
4. Aiden exited the attic.
5. Aiden dislikes the gloves
6. Mason entered the attic.
7. Isabella moved the pajamas to the pantry.
8. Mason hates the lime
9. Isabella exited the attic.
10. Aiden entered the lounge.",Where is the pajamas really?,pantry,Where was the pajamas at the beginning?,treasure_chest,Where will Isabella look for the pajamas?,pantry,Where will Aiden look for the pajamas?,treasure_chest,Where does Isabella think that Aiden searches for the pajamas?,treasure_chest,Where does Aiden think that Isabella searches for the pajamas?,treasure_chest
"1. Jackson entered the garage.
2. William entered the garage.
3. The stockings is in the treasure_chest.
4. William exited the garage.
5. Jackson moved the stockings to the envelope.",Where is the stockings really?,envelope,Where was the stockings at the beginning?,treasure_chest,Where will Jackson look for the stockings?,envelope,Where will William look for the stockings?,treasure_chest,Where does Jackson think that William searches for the stockings?,treasure_chest,Where does William think that Jackson searches for the stockings?,treasure_chest
"1. Carter entered the patio.
2. Jacob entered the patio.
3. Mila entered the patio.
4. Jacob likes the scarf
5. The pineapple is in the bucket.
6. Carter exited the patio.
7. Mila exited the patio.
8. Jacob moved the pineapple to the pantry.",Where is the pineapple really?,pantry,Where was the pineapple at the beginning?,bucket,Where will Jacob look for the pineapple?,pantry,Where will Mila look for the pineapple?,bucket,Where does Jacob think that Mila searches for the pineapple?,pantry,Where does Mila think that Jacob searches for the pineapple?,pantry
"1. Aria entered the sunroom.
2. Mason entered the sunroom.
3. Aria exited the sunroom.
4. Mila entered the sunroom.
5. The spinach is in the bucket.
6. Mason exited the sunroom.
7. Mila moved the spinach to the treasure_chest.
8. Mila exited the sunroom.
9. Mason entered the TV_room.",Where is the spinach really?,treasure_chest,Where was the spinach at the beginning?,bucket,Where will Mila look for the spinach?,treasure_chest,Where will Mason look for the spinach?,bucket,Where does Mila think that Mason searches for the spinach?,bucket,Where does Mason think that Mila searches for the spinach?,bucket
"1. Liam entered the master_bedroom.
2. Aiden entered the master_bedroom.
3. The plum is in the drawer.
4. Isla entered the cellar.
5. Aiden exited the master_bedroom.
6. Liam moved the plum to the suitcase.
7. Liam exited the master_bedroom.
8. Aiden entered the cellar.",Where is the plum really?,suitcase,Where was the plum at the beginning?,drawer,Where will Liam look for the plum?,suitcase,Where will Aiden look for the plum?,drawer,Where does Liam think that Aiden searches for the plum?,drawer,Where does Aiden think that Liam searches for the plum?,drawer
"1. Liam entered the kitchen.
2. Chloe entered the kitchen.
3. The gloves is in the crate.
4. Chloe exited the kitchen.
5. Liam moved the gloves to the basket.
6. Chloe loves the tomato",Where is the gloves really?,basket,Where was the gloves at the beginning?,crate,Where will Liam look for the gloves?,basket,Where will Chloe look for the gloves?,crate,Where does Liam think that Chloe searches for the gloves?,crate,Where does Chloe think that Liam searches for the gloves?,crate
"1. Hannah entered the cellar.
2. Aria entered the cellar.
3. The coat is in the box.
4. Hannah exited the cellar.
5. Aria moved the coat to the drawer.
6. Aria exited the cellar.
7. Hannah entered the playroom.",Where is the coat really?,drawer,Where was the coat at the beginning?,box,Where will Aria look for the coat?,drawer,Where will Hannah look for the coat?,box,Where does Aria think that Hannah searches for the coat?,box,Where does Hannah think that Aria searches for the coat?,box
"1. Lily entered the office.
2. Ava entered the office.
3. The lemon is in the box.
4. Lily dislikes the suit
5. Ava exited the office.
6. Lily moved the lemon to the envelope.",Where is the lemon really?,envelope,Where was the lemon at the beginning?,box,Where will Lily look for the lemon?,envelope,Where will Ava look for the lemon?,box,Where does Lily think that Ava searches for the lemon?,box,Where does Ava think that Lily searches for the lemon?,box
